cluster,modularity,size
6,0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,30/99/368/755/926/2125/2312
8,0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,38/69/99/368/755/926/2125/2312
9,0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,31/69/99/368/755/926/2125/2312
11,9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,73/269/368/755/926/2125/2312
15,2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,37/72/111/196/269/368/755/926/2125/2312
16,2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,35/72/111/196/269/368/755/926/2125/2312
17,2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,39/111/196/269/368/755/926/2125/2312
19,3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,55/85/196/269/368/755/926/2125/2312
20,3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,30/85/196/269/368/755/926/2125/2312
22,4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,142/387/755/926/2125/2312
25,2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,47/121/245/387/755/926/2125/2312
26,2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,74/121/245/387/755/926/2125/2312
28,2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,57/124/245/387/755/926/2125/2312
29,2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,67/124/245/387/755/926/2125/2312
32,0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,50/90/171/926/2125/2312
33,0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,40/90/171/926/2125/2312
34,0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,81/171/926/2125/2312
40,7.0073062495815686e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,54/133/249/479/897/1199/2125/2312
41,7.0073062495815686e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,79/133/249/479/897/1199/2125/2312
43,5.558517795733381e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,62/116/249/479/897/1199/2125/2312
44,5.558517795733381e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,54/116/249/479/897/1199/2125/2312
47,4.356861536847556e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,62/129/230/479/897/1199/2125/2312
48,4.356861536847556e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,67/129/230/479/897/1199/2125/2312
50,4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,36/101/230/479/897/1199/2125/2312
51,4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,65/101/230/479/897/1199/2125/2312
54,3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,119/217/418/897/1199/2125/2312
55,3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,98/217/418/897/1199/2125/2312
59,1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,30/60/103/201/418/897/1199/2125/2312
60,1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,30/60/103/201/418/897/1199/2125/2312
61,5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,43/103/201/418/897/1199/2125/2312
63,2.4097319697310354e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,53/98/201/418/897/1199/2125/2312
64,2.4097319697310354e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,45/98/201/418/897/1199/2125/2312
67,7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,45/101/302/1199/2125/2312
68,7.275304461355706e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,56/101/302/1199/2125/2312
71,2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,80/141/201/302/1199/2125/2312
72,2.933705203054468e-2/3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,61/141/201/302/1199/2125/2312
73,3.1447923725329285e-2/9.555569867707411e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,60/201/302/1199/2125/2312
74,5.972810594217861e-2,187/2312
